,Unnamed: 0,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,epoch_time,merge_id
33,3257200,VTI,2008-07-28 09:05,-92.0248,42.2176,65.00,64.00,M,M,M,M,29.81,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1217246400000.0,1217246400000.0_VTI
34,2035741,MXO,2008-05-08 09:55,-91.1605,42.2204,46.40,42.80,87.19,40.00,5.00,M,29.80,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.50,M,1210248000000.0,1210248000000.0_MXO
35,3866396,AXA,2008-09-06 09:45,-94.2724,43.0796,46.00,42.00,M,M,M,M,30.01,M,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1220702400000.0,1220702400000.0_AXA
36,2854095,DNS,2008-07-02 09:37,-95.38,41.9842,71.00,68.00,90.25,230.00,3.00,M,29.77,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,72.04,M,1215000000000.0,1215000000000.0_DNS
37,4744642,EMT,2008-10-29 21:47,-118.035,34.086,M,M,M,190.00,6.00,M,29.94,M,20.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KEMT 292147Z 19006KT 20SM SKC A2994,1225328400000.0,1225328400000.0_EMT
38,3834072,MYF,2008-09-04 12:53,-117.1396,32.8157,66.02,62.96,89.86,320.00,4.00,M,29.85,1010.20,0.25,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,66.02,KMYF 041253Z 32004KT 1/4SM FG VV001 19/17 A2985 RMK AO2 SLP102 T01890172,1220540400000.0,1220540400000.0_MYF
39,31329,CIN,2008-01-03 00:54,-94.7889,42.0444,9.00,4.00,79.67,200.00,7.00,M,30.70,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-3.26,M,1199332800000.0,1199332800000.0_CIN
40,784719,HSB,2008-02-18 12:05,-88.5503,37.8113,33.80,28.40,80.36,270.00,13.00,M,29.85,M,10.00,M,SCT,SCT,SCT,M,3100.00,4100.00,10000.00,M,M,M,M,M,M,M,M,23.87,KHSB 181205Z AUTO 27013KT 10SM SCT031 SCT041 SCT100 01/M02 A2985 RMK AO2,1203350400000.0,1203350400000.0_HSB
41,1966740,SLO,2008-05-03 20:05,-88.9642,38.6429,53.60,32.00,43.61,280.00,14.00,M,29.93,M,10.00,20.00,BKN,BKN,M,M,3100.00,4100.00,M,M,M,M,M,M,M,M,M,53.60,KSLO 032005Z AUTO 28014G20KT 10SM BKN031 BKN041 12/00 A2993 RMK AO2 PWINO,1209855600000.0,1209855600000.0_SLO
42,2786830,AJG,2008-06-27 18:45,-87.7267,38.6065,78.80,71.60,78.62,180.00,11.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.70,KAJG 271845Z AUTO 18011KT 10SM CLR 26/22 A2988 RMK AO2,1214600400000.0,1214600400000.0_AJG
43,3431839,CIR,2008-08-10 03:25,-89.2196,37.0647,66.20,64.40,93.92,0.00,0.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KCIR 100325Z AUTO 00000KT 10SM CLR 19/18 A2993 RMK AO2,1218348000000.0,1218348000000.0_CIR
44,965055,1H2,2008-02-29 16:08,-88.5335,39.0705,42.80,33.80,70.28,270.00,9.00,M,30.03,M,10.00,M,SCT,BKN,M,M,6500.00,10000.00,M,M,M,M,M,M,M,M,M,36.94,K1H2 291608Z AUTO 27009KT 10SM SCT065 BKN100 06/01 A3003 RMK AO2,1204315200000.0,1204315200000.0_1H2
45,545620,SBP,2008-02-03 11:25,-120.6441,35.2381,53.60,51.80,93.60,280.00,13.00,0.06,29.89,M,4.00,17.00,FEW,BKN,OVC,   ,1400.00,3300.00,4400.00,M,-RA BR,M,M,M,M,M,M,53.60,KSBP 031125Z AUTO 28013G17KT 4SM -RA BR FEW014 BKN033 OVC044 12/11 A2989 RMK AO2 P0006 TSNO,1202050800000.0,1202050800000.0_SBP
46,870436,FFL,2008-02-23 14:23,-91.9834,41.0521,5.00,1.00,83.12,M,0.00,M,30.13,M,0.24,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,5.00,M,1203789600000.0,1203789600000.0_FFL
47,5377416,SLO,2008-12-08 15:26,-88.9642,38.6429,38.30,22.64,52.94,170.00,9.00,M,30.04,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.35,KSLO 081526Z AUTO 17009G14KT 10SM CLR 04/M05 A3004 RMK AO2 T00351052,1228762800000.0,1228762800000.0_SLO
48,4135924,IKV,2008-09-23 01:13,-93.5695,41.6878,72.00,65.00,78.62,150.00,8.00,M,30.18,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,72.00,M,1222142400000.0,1222142400000.0_IKV
49,911397,SHL,2008-02-25 20:13,-95.8353,43.2082,29.00,25.00,84.79,360.00,21.00,M,29.89,M,2.50,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.85,M,1203984000000.0,1203984000000.0_SHL
50,4261485,PRO,2008-09-30 05:43,-94.1637,41.8278,46.00,45.00,96.28,310.00,3.00,M,30.16,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.69,M,1222761600000.0,1222761600000.0_PRO
51,650785,IKV,2008-02-09 22:15,-93.5695,41.6878,19.40,10.40,67.51,320.00,17.00,M,30.12,M,10.00,26.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,3.57,M,1202608800000.0,1202608800000.0_IKV
52,2957673,IKV,2008-07-09 01:55,-93.5695,41.6878,75.00,68.00,M,M,M,M,29.93,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1215576000000.0,1215576000000.0_IKV
53,2868482,EUL,2008-07-03 07:15,-116.6358,43.6419,66.20,53.60,63.82,0.00,0.00,M,29.83,M,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,66.20,KEUL 030715Z AUTO 00000KT 10SM CLR 19/12 A2983 RMK AO1,1215079200000.0,1215079200000.0_EUL
54,3560280,FWC,2008-08-18 22:05,-88.4126,38.3786,80.60,51.80,36.79,340.00,3.00,M,30.02,M,10.00,M,BKN,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,80.60,KFWC 182205Z AUTO 34003KT 10SM BKN055 27/11 A3002 RMK AO2 TSNO,1219107600000.0,1219107600000.0_FWC
55,14975,EBS,2008-01-02 00:37,-93.8691,42.4392,4.00,-2.00,75.57,290.00,9.00,M,30.53,M,M,16.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-11.30,M,1199246400000.0,1199246400000.0_EBS
56,1755183,PRO,2008-04-19 16:28,-94.1637,41.8278,45.00,45.00,100.00,330.00,13.00,M,29.92,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,38.22,M,1208631600000.0,1208631600000.0_PRO
57,4686960,MAE,2008-10-25 09:53,-120.1107,36.9849,53.06,37.94,56.34,0.00,0.00,M,30.06,1017.50,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,53.06,KMAE 250953Z AUTO 00000KT 10SM CLR 12/03 A3006 RMK AO2 SLP175 T01170033,1224936000000.0,1224936000000.0_MAE
58,3831530,IKV,2008-09-04 09:33,-93.5695,41.6878,55.00,54.00,96.42,30.00,7.00,M,30.00,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.00,M,1220529600000.0,1220529600000.0_IKV
59,2932696,MPZ,2008-07-07 10:15,-91.5122,40.9453,71.60,71.60,100.00,180.00,5.00,M,29.87,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.16,M,1215435600000.0,1215435600000.0_MPZ
60,4563525,EBS,2008-10-17 23:40,-93.8691,42.4392,47.00,42.00,82.65,50.00,3.00,M,30.27,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.84,M,1224295200000.0,1224295200000.0_EBS
61,3036067,IKV,2008-07-14 07:43,-93.5695,41.6878,59.00,58.00,M,M,M,M,29.93,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1216029600000.0,1216029600000.0_IKV
62,1152565,EOK,2008-03-12 06:12,-91.4274,40.4615,45.00,34.00,65.13,30.00,7.00,M,29.90,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.63,M,1205316000000.0,1205316000000.0_EOK
63,4207755,AIO,2008-09-27 04:52,-95.0465,41.4059,64.00,59.00,83.78,200.00,4.00,M,30.06,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.00,M,1222498800000.0,1222498800000.0_AIO
64,4665550,NZY,2008-10-23 23:52,-117.2098,32.6922,84.92,19.94,9.04,330.00,7.00,M,29.92,1013.20,10.00,M,FEW,   ,   ,   ,25000.00,M,M,M,M,M,M,M,M,M,M,81.21,KNZY 232352Z 33007KT 10SM FEW250 29/M07 A2992 RMK AO2 SLP132 T02941067 10344 20294 53002 $,1224813600000.0,1224813600000.0_NZY
65,4642392,MVN,2008-10-22 14:35,-88.8583,38.3233,48.20,30.20,M,M,M,M,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMVN 221435Z AUTO 10SM CLR 09/M01 A3033 RMK AO1,1224694800000.0,1224694800000.0_MVN
66,4219391,AUN,2008-09-27 20:10,-121.0817,38.9548,91.40,37.40,15.05,230.00,6.00,M,30.00,M,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,87.23,KAUN 272010Z AUTO 23006KT 040V040 10SM CLR 33/03 A3000 RMK A01 P000,1222556400000.0,1222556400000.0_AUN
67,3334678,NZJ,2008-08-03 07:05,-117.73100000000001,33.676,66.20,60.80,82.74,0.00,0.00,M,29.85,M,10.00,M,SCT,   ,   ,   ,1400.00,M,M,M,M,M,M,M,M,M,M,66.20,KSNA 030705Z 00000KT 10SM SCT014 19/16 A2985 RMK AO2,1217757600000.0,1217757600000.0_NZJ
68,218177,GGI,2008-01-14 10:14,-92.7332,41.7097,22.00,18.00,84.33,310.00,12.00,M,30.16,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,9.27,M,1200319200000.0,1200319200000.0_GGI
69,5345436,HNR,2008-12-06 21:23,-95.3355,41.5834,26.00,9.00,48.03,320.00,17.00,M,30.20,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.21,M,1228611600000.0,1228611600000.0_HNR
